sample.id,site,plot,type,depth.rng,n,tc.dc,ic.dc,ic.dc.pct,oc.dc,oc.acid,oc.acid.neg,diff.pct,diff.abs
CP_A 10-15,CP,A,S,10-15,1,17.68,0,0,17.68,18.25,-18.25,-0.57,0.57
CP_A 20-25,CP,A,S,20-25,2,18.64,0,0,18.64,19.41,-19.41,-0.77,0.77
CP_A 72-77,CP,A,S,72-77,3,25.25,0,0,25.25,26.45,-26.45,-1.2,1.2
CP_B 0-5,CP,B,S,0-5,4,23.2,0,0,23.2,23.19,-23.19,0.01,0.01
GP_A 72-77,GP,A,S,72-77,5,1.8,0,0,1.8,0.89,-0.89,0.91,0.91
GP_B 0-5,GP,B,S,0-5,6,9.51,0,0,9.51,9.68,-9.68,-0.17,0.17
GP_B 25-30 ,GP,B,S,25-30,7,1.64,0,0,1.64,1.25,-1.25,0.39,0.39
KL_B 5-10,KL,B,F,5-10,8,22.7,0,0,22.7,22.75,-22.75,-0.05,0.05
PB_A 0-5,PB,A,S,0-5,9,20.75,0,0,20.75,20.87,-20.87,-0.12,0.12
PB_A 67-74,PB,A,S,67-74,10,10.08,0,0,10.08,9.49,-9.49,0.59,0.59
PB_B 5-10,PB,B,S,5-10,11,6.68,0,0,6.68,6.38,-6.38,0.3,0.3
PS_B 15-20,PS,B,S,15-20,12,4.22,0,0,4.22,4.32,-4.32,-0.1,0.1
PS_B 51-56,PS,B,S,51-56,13,5.32,0,0,5.32,5.41,-5.41,-0.09,0.09
STB_A 72-77,STB,A,B,72-77,14,13.36,0,0,13.36,13.28,-13.28,0.08,0.08
STB_B 0-5,STB,B,B,0-5,15,29.02,0,0,29.02,31.71,-31.71,-2.69,2.69
STB_B 10-15,STB,B,B,10-15,16,26.93,0,0,26.93,28.84,-28.84,-1.91,1.91
STB_B 72-77,STB,B,B,72-77,17,19.64,0,0,19.64,20.31,-20.31,-0.67,0.67
STF_A 25-30,STF,A,F,25-30,18,32.59,0,0,32.59,35.97,-35.97,-3.38,3.38
STF_A 5-10,STF,A,F,5-10,19,26.87,0,0,26.87,27.19,-27.19,-0.32,0.32
STF_C 0-5,STF,C,F,0-5,20,21.94,0,0,21.94,21.94,-21.94,0,0
STF_C 72-77,STF,C,F,72-77,21,14.75,0,0,14.75,14.54,-14.54,0.21,0.21
CP_B 20-25,CP,B,S,20-25,22,16.93,0.3,1.77,16.63,15.32,-15.32,1.31,1.31
SG_B 25-30,SG,B,S,25-30,23,1.03,0.11,10.68,0.92,0.3,-0.3,0.62,0.62
SG_B 5-10,SG,B,S,5-10,24,1.06,0.15,14.15,0.91,0.27,-0.27,0.64,0.64
KL_A 15-20,KL,A,F,15-20,25,25.97,4.01,15.44,21.96,24.45,-24.45,-2.49,2.49
VB_A 37-42,VB,A,F,37-42,26,20.76,4.42,21.29,16.34,18.44,-18.44,-2.1,2.1
VB_A 5-10,VB,A,F,5-10,27,15.76,4.31,27.37,11.45,12.42,-12.42,-0.97,0.973333333
VB_B 25-30,VB,B,F,25-30,28,16.24,4.47,27.52,11.77,12.82,-12.82,-1.05,1.05
MAG_B 5-10,MAG,B,B,5-10,29,24.8,7.33,29.54,17.47,21.62,-21.62,-4.15,4.146666667
BB_B 0-5,BB,B,F,0-5,30,8.52,3.54,41.55,4.98,4.59,-4.59,0.39,0.39
PB_B 72-77,PB,B,S,72-77,31,5.8,2.76,47.59,3.04,2.31,-2.31,0.73,0.73
STB_A 10-15,STB,A,B,10-15,32,8.79,4.32,49.15,4.47,3.74,-3.74,0.73,0.73
KL_A 5-10,KL,A,F,5-10,33,17.9,9.58,53.52,8.32,14.85,-14.85,-6.53,6.53
MB_A 72-77,MB,A,F,72-77,34,9.81,6.04,61.57,3.77,6.63,-6.63,-2.86,2.86
VB_B 48-53,VB,B,F,48-53,35,6.63,4.18,63.05,2.45,2.47,-2.47,-0.02,0.02
KL_B 25-30,KL,B,F,25-30,36,12.43,8.33,66.99,4.1,6.7,-6.7,-2.6,2.596666667
BB_B 20-25,BB,B,F,20-25,37,6.6,4.67,70.76,1.93,1.4,-1.4,0.53,0.53
KL_A 72-77,KL,A,F,72-77,38,12.8,9.73,76.02,3.07,8.73,-8.73,-5.66,5.66
MAG_A 37-42,MAG,A,B,37-42,39,12.66,10.09,79.7,2.57,4.98,-4.98,-2.41,2.41
MB_B 15-20,MB,B,F,15-20,40,11.38,9.07,79.7,2.31,2.46,-2.46,-0.15,0.15
MAG_B 37-42,MAG,B,B,37-42,41,11.57,9.66,83.49,1.91,6.49,-6.49,-4.58,4.58
MAG_A 10-15,MAG,A,B,10-15,42,11.03,10.03,90.93,1,4.78,-4.78,-3.78,3.78
SR_A 15-20,SR,A,F,15-20,43,11.71,11.33,96.78,0.38,6.15,-6.15,-5.77,5.773333333
